"Date","GOOGL P/S (LTM)","MMM P/S (LTM)","NVDA P/S (LTM)","PG P/S (LTM)","GOOGL Open","GOOGL Low","GOOGL High","GOOGL Close","GOOGL Adj. Close","MMM Open","MMM Low","MMM High","MMM Close","MMM Adj. Close","NVDA Open","NVDA Low","NVDA High","NVDA Close","NVDA Adj. Close","PG Open","PG Low","PG High","PG Close","PG Adj. Close","GOOGL P/FCF (LTM)","MMM P/FCF (LTM)","NVDA P/FCF (LTM)","NVDA P/FCF (LTM)","PG P/FCF (LTM)","GOOGL P/E (LTM)","MMM P/E (LTM)","NVDA P/E (LTM)","PG P/E (LTM)","GOOGL Debt/Equity (LTM)","MMM Debt/Equity (LTM)","NVDA Debt/Equity (LTM)","PG Debt/Equity (LTM)"
04-25-2018,LOCKED,LOCKED,LOCKED,LOCKED,51.4875,50.8505,51.8035,51.1495,51.1495,132.53136950766,129.83592792990598,132.95974041854998,198.84,131.04195680210398,54.4522069245,52.0513596191925,54.84203522407312,54.165,53.6255234193735,62.28129626721599,61.88564102232,62.5737371004,72.3,62.18668305647999,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,,,
04-26-2018,LOCKED,LOCKED,LOCKED,LOCKED,51.661,51.0225,52.601,52.1655,52.1655,130.936511654808,129.28234090660197,131.5609446364515,197.09,129.888650503554,55.24423902522,54.58338724118176,55.82588759918625,56.305,55.7442092887995,62.41891548283199,62.246891463312,62.797368325776,72.75,62.5737371004,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,,,
04-27-2018,LOCKED,LOCKED,LOCKED,LOCKED,52.277,51.3795,52.58475,51.5725,51.5725,129.677760208962,128.11585396464,129.901831146966,196.12,129.249389298072,56.8035522235125,55.5957032699145,57.001560248692506,56.5825,56.01894542373675,62.384510678928,62.10927224769599,62.857576732608,72.81,62.625344306256,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,,,
04-29-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2592,
04-30-2018,LOCKED,LOCKED,LOCKED,LOCKED,51.721,50.915,51.9185,50.929,50.929,129.802976321376,127.970866887108,130.712440716804,194.39,128.109263642934,56.18230204451025,55.471948254177,56.679797207775,56.225,55.6650060787275,62.711356316016,62.06626624281599,62.715656916504,72.34,62.221087860384,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,,,
05-01-2018,LOCKED,LOCKED,LOCKED,LOCKED,50.815,50.5305,52.0865,52.0375,52.0375,127.872012061518,126.165118739664,128.86708473590693,195.02,128.524453910412,55.58332776834075,54.996728993745,56.24665465269375,56.785,56.219428549231495,61.97165303207999,61.636206194016,62.216787259896,71.96,61.89424222329599,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,,,
05-02-2018,LOCKED,LOCKED,LOCKED,LOCKED,51.7,51.158,52.199,51.3025,51.3025,128.61012809259,127.8647627076414,129.440508627546,194.5,128.1817571817,56.184777144825,55.75163458974375,56.63029520148,56.5775,56.01399522310725,61.877039821344,60.836294503248,61.937248228176,70.94,61.016919723744,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,,,
05-03-2018,LOCKED,LOCKED,LOCKED,LOCKED,51.2685,50.3945,51.5345,51.315,51.315,128.194937825112,126.76483801490998,129.63162795702,195.68,128.959415143008,56.33328316371,55.880339806110754,57.92972286672375,58.2475,57.66736223336025,60.905104111056,60.844895704224,61.687813399872,71.36,61.378170164736,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,,,
05-04-2018,LOCKED,LOCKED,LOCKED,LOCKED,50.9805,50.9025,52.59396,52.55,52.55,128.55740551894198,127.89316699419425,131.76023596484094,199.36,131.384653530816,57.38025059684925,57.20699357481675,59.20165216747063,59.765,59.1697481244135,61.395372566688,61.360967762784,62.461921487712,72.43,62.298498669168005,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,,,
05-07-2018,LOCKED,LOCKED,LOCKED,LOCKED,52.6945,52.513485,53.25,52.973,52.973,131.845976050236,131.529640608348,132.4654662906,200.26,131.977782484356,60.21795310771012,60.117711544962745,62.122542799910256,62.17,61.55079462720301,62.504927492592,61.834033816464,62.977993546272,71.98,61.911444625248,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,,,
