Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,PG,PG,PG,PG,PG,PG,MMM,MMM,MMM,MMM,MMM,MMM
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-25,125.20999908447266,125.9800033569336,122.9000015258789,124.3499984741211,124.3499984741211,33812700,385.2300109863281,394.79998779296875,366.3500061035156,379.79998779296875,379.6781921386719,154391100,145.49000549316406,146.2100067138672,144.35000610351562,145.38999938964844,142.6724395751953,6510300,80.72742462158203,81.27926635742188,79.72408294677734,81.1454849243164,76.7095718383789,3731042
2023-05-26,124.06500244140625,126.0,123.29000091552734,125.43000030517578,125.43000030517578,25154700,378.8999938964844,391.70001220703125,375.5,389.4599914550781,389.3351135253906,71439700,145.3300018310547,146.00999450683594,144.72999572753906,145.39999389648438,142.6822509765625,4716400,81.1454849243164,81.47157287597656,80.57691955566406,81.05351257324219,76.62261962890625,3333730
2023-05-30,126.29000091552734,126.37999725341797,122.88999938964844,124.63999938964844,124.63999938964844,27230700,405.95001220703125,419.3800048828125,399.489990234375,401.1099853515625,400.98138427734375,92340100,143.86000061035156,144.0399932861328,142.35000610351562,143.17999267578125,140.50375366210938,5561000,81.04515075683594,81.27090454101562,79.59866333007812,80.3177261352539,75.92706298828125,3433477
2023-05-31,123.69999694824219,124.9000015258789,123.0999984741211,123.37000274658203,123.37000274658203,41548800,394.8800048828125,402.95001220703125,378.2200012207031,378.3399963378906,378.21868896484375,100258000,143.16000366210938,143.97999572753906,141.89999389648438,142.5,139.8364715576172,19854800,79.43143463134766,80.07524871826172,77.91806030273438,78.01839447021484,73.75342559814453,7405273
2023-06-01,123.5,125.04000091552734,123.30000305175781,124.37000274658203,124.37000274658203,25017700,384.8900146484375,400.5,383.3999938964844,397.70001220703125,397.572509765625,63587300,143.25,144.1199951171875,142.4499969482422,143.9600067138672,141.26919555664062,6091100,78.15217590332031,79.08026885986328,77.24080657958984,78.82942962646484,74.52012634277344,3982082
2023-06-02,124.48999786376953,126.74500274658203,124.3499984741211,125.2300033569336,125.2300033569336,19362400,400.9700012207031,405.0,390.5799865722656,393.2699890136719,393.1439208984375,48165500,144.50999450683594,146.67999267578125,144.38999938964844,146.52000427246094,143.7813262939453,6123500,80.3511734008789,87.41638946533203,80.3010025024414,85.72742462158203,81.04103088378906,16938828
2023-06-05,124.61000061035156,127.98999786376953,124.37999725341797,126.62999725341797,126.62999725341797,22672500,389.0899963378906,395.6499938964844,387.07000732421875,391.7099914550781,391.58441162109375,39609400,146.0500030517578,147.85000610351562,145.72999572753906,145.94000244140625,143.21217346191406,4753700,84.36454772949219,85.69397735595703,81.86454772949219,81.92308044433594,77.44466400146484,7070752
2023-06-06,126.5999984741211,128.8800048828125,125.97000122070312,127.91000366210938,127.91000366210938,19450100,388.29998779296875,391.6000061035156,381.4800109863281,386.5400085449219,386.41607666015625,38872900,146.07000732421875,146.30999755859375,143.5500030517578,144.49000549316406,141.78927612304688,4635900,81.9899673461914,83.30267333984375,81.34615325927734,82.1822738647461,77.68968200683594,5351024
2023-06-07,127.57499694824219,129.5500030517578,122.62999725341797,122.94000244140625,122.94000244140625,34179300,389.1499938964844,394.989990234375,373.55999755859375,374.75,374.6686096191406,51199800,144.00999450683594,145.1199951171875,143.47000122070312,144.8000030517578,142.09347534179688,6194400,82.54180908203125,84.58193969726562,81.60535430908203,84.44815826416016,79.83169555664062,3996075
2023-06-08,122.58499908447266,123.7300033569336,122.01000213623047,122.66999816894531,122.66999816894531,24815000,377.239990234375,388.6400146484375,375.04998779296875,385.1000061035156,385.0163879394531,41777200,145.33999633789062,146.64999389648438,144.9199981689453,146.44000244140625,143.70281982421875,4863700,84.28093719482422,84.74080657958984,83.26087188720703,84.24748992919922,79.64199829101562,3768476
