,precision,recall,f1-score,support,y_variable,model
0.0,1.0,1.0,1.0,866.0,pe_Entry/Exit_ema,Random Forest Classifier
1.0,1.0,1.0,1.0,903.0,pe_Entry/Exit_ema,Random Forest Classifier
accuracy,1.0,1.0,1.0,1.0,pe_Entry/Exit_ema,Random Forest Classifier
macro avg,1.0,1.0,1.0,2673.0,pe_Entry/Exit_ema,Random Forest Classifier
weighted avg,1.0,1.0,1.0,2673.0,pe_Entry/Exit_ema,Random Forest Classifier
-1.0,0.39855072463768115,0.30420353982300885,0.3450439146800502,904.0,pe_Entry/Exit_ema,Logistic Regression
0.0,0.6479750778816199,0.48036951501154734,0.5517241379310345,866.0,pe_Entry/Exit_ema,Logistic Regression
1.0,0.3348247576435496,0.49723145071982283,0.40017825311942956,903.0,pe_Entry/Exit_ema,Logistic Regression
accuracy,0.4264870931537598,0.4264870931537598,0.4264870931537598,0.4264870931537598,pe_Entry/Exit_ema,Logistic Regression
macro avg,0.4604501867209502,0.4272681685181263,0.43231543524350474,2673.0,pe_Entry/Exit_ema,Logistic Regression
weighted avg,0.45783128644596777,0.4264870931537598,0.4306299157822245,2673.0,pe_Entry/Exit_ema,Logistic Regression
